,texto,emocion
1593,"Felicidades, reciban un abrazo enorme.!!!!!",excitement
1594,Todos con usted doctor lomelí,neutral
1595,Siempre acompañando a la gente buena Dr. sin duda alguna Usted será nuestro próximo Gobernador!!! Arandas lo apoya con todo el corazón!!!,optimism
1596,Lomeli con el rejidor del pueblo chato si trabaja se ensucia los zapatos por su pueblo,neutral
1597,Dr. Carlos Lomelí Bolaños ¡Si puede !,neutral
1598,Doctor lomelí próximo gobernador ✅,sadness
1599,Por Puerto Vallarta y Jalisco Morena Si Dr Lomeli Nuestro Próximo Gobernador,neutral
1600,Animo,neutral
1601,"Yo fui y no los encontré, están abajo, o en el piso de arriba???",curiosity
1602,Sabrosos .,nervousness
1603,Y sí DESDE más de 50 años l.,approval
1604,Con la unió y el trabajo en conjunto lograremos un México mejor y un Jalisco con unidad pata trasformación con el doctor Lomeli juntos por Jalisco y el profe julio en Ocotlán Jalisco,optimism
1605,Mucho Éxito Dr.🤝,admiration
1606,"Claro Dr. Carlos Lomeli que con la 4 transformación y usted cómo Gobernador forjará a este gran estado con buena infraestructura
mayores empleos jalisco estará en muy buenas mano Tlajomulco con usted",admiration
1607,Muchas felicidades Dr 🤝,excitement
1608,Con Morena Si Dr Lomeli Gobernador de Jalisco y Dra Claudia Presidenta de Mexico vamos con todo vamos por todo,neutral
1609,Bendiciones Dr. Carlos Lomelí Bolaños,neutral
1610,"Jutos Tod@s con Claudia shimbaum y con el DR.Carlos Lomeli Bolaños TRNSFORMEMOS EL SECTOR AGROPECUARIO...
y Jalisco Sera punta de Lanza a NiVEL NACIONAL como el Sector PRIMARIO DE LA NACION Saludos y Exitoso Dia.",neutral
1611,"Estamos con el dedo en el renglón, vamos adelante",neutral
1612,"Vamos con Claudia con 4T
Dr. Carlos Lomelí Sí Puede",neutral
1613,"Toda la razón Dr., por eso vamos con usted!🫡",approval
1614,"Vamos con todo dr.
Solo hay que darle VALOR a las promesas
Y estamos con ud",caring
1615,Vamos con todo doctor Carlos,approval
1616,Sabes que cuentas con mi apoyo Tocayo...,optimism
1617,"Un gobierno que cumpla con su palabra, y el gobierno Morenista no ha cumplido con México en todos los aspectos, Ud simple m,ente es un reflejo de un MAL GOBIERNO UD .ha robado muchísimo, así que no hable de honestidad nu rectitud porqué UD. Es un corrupto",disappointment
1618,Vamos dr lomeli el triunfaremos.,optimism
1619,"Y seguirá vigente por mucho tiempo más!, que siga la 4T💪🏼",neutral
1620,Adelante,neutral
1621,Un gran ejemplo a seguir ellos defendieron la patria nosotros también todos somos morena todos somos Lomelí éxitos compañeros morena Miravalle distrito 13 lo saluda y los apoya,admiration
1622,"Dr. Carlos Lomeli , es un ejemplo a seguir porque proviene de la cultura del esfuerzo y sacrificio para sus logros que ha obtenido a través de su trayectoria de empresario y de politico",admiration
1623,Lo logrará viva moren en alto saludos y bendiciones 🙏🙏🙏,approval
1624,El apollo lo tienes pero apolla al pueblo con quitar la verificación y retenes estan violando los derechos de los mexicanos,neutral
1625,Saludos Dr lomeli trasformado a jalisco todo nuestro apoyo,gratitude
1626,Ai es luchar solo por ver una patria sin k tengas miedo de salir a las calles sin tener k cuidarnos de los demás pues nunca se sabe k puede pasar en jalisco todo estará bien pues con el doctor lomeli cambiaran las cosas para bien saludos doctor lomeli,optimism
1627,Es honor estar con el doctor mi agradecimiento hacia usted es infinito saludos!!!!!,gratitude
1628,Por Jalisco Morena SI Dr Lomeli Nuestro Próximo Gobernador,neutral
1629,Por los de Jalisco MORENA Voy con Dr. Carlos Lomelí Bolaños,neutral
1630,En Ocotlán Jalisco con el doctor Lomeli y el profe julio aremos istoria juntos por Jalisco,neutral
1631,"Con todo Dr. Lomelí ,resiba nuestro apoyo del Distrito 12Tlajomulco 🇲🇽💯👍",approval
1632,En poncitlan estamos todos con el doctor Carlos Lomeli...,neutral
1633,Vamos doctor no nos Rendiremos firmes hasta el final,neutral
1634,Tan guapo mi dr lomeli,admiration
1635,Vamos con el Dr. Carlos Lomelí Bolaños por que el SI PUEDE,neutral
1636,Buenos días doctor Lomeli usted daría mucho por nosotras y nosotros por la ciudadanía,gratitude
1637,"Excelente empiezo Dr Lomelí, así es como se forjan los grandes líderes.
Para darle firmeza y dureza al acero, tiene que calentarse al rojo vivo, golpearlo para moldear y después meterlo al agua fría.
Existen, como el Dr Lomelí, líderes que se forjaron de esta forma.
Estamos con usted para la gubernatura.",admiration
1638,MI VITO PARA MORENA Y PARA EL DR. LOMELÍ,neutral
1639,Ese es nuestro próximo gobernador de Jalisco sí señor,neutral
1640,Testigo de la gran persona que es usted Dr Dr. Carlos Lomelí Bolaños .Por eso quien lo siga no se equivoca Vamos con usted no nos rendimos.!,admiration
1641,Puerto Vallarta y 5 Distrito firmes con el Dr. Carlos Lomelí Bolaños,neutral
1642,Y lo que falta estimado Doctor!,curiosity
1643,Yo con Carlos Dr. Carlos Lomelí Bolaños,neutral
1644,Se ve como está en la actualidad se ve muy bien felicidades doctor.lomeli a seguir adelante,admiration
1645,El porte de todo un caballero... Felicidades doctor Lomeli,admiration
1646,Dr. Carlos Lomelí Sí Puede!!!!!!!,approval
1647,"Claro que si se puede ,esperamos se restablezcan los civiles y imss bienestar ,",optimism
1648,Miguel Anguel Padilla Gutierrez,neutral
1649,Por Jalisco Dr Lomeli Nuestro Próximo Gobernador,neutral
1650,Cuánta propaganda a un CORRUPTO,neutral
1651,Les presento a nuestro nuevo gobernador,excitement
1652,"Bamos,aganar",neutral
1653,Hola Dr. Carlos Lomelí Bolaños ¿donde puedo revisar sus propuestas?,curiosity
1654,En Jalisco se necesita un cambio con el doctor Lomeli juntos por Jalisco y el profe julio en Ocotlán Jalisco,neutral
1655,"Muchas gracias por compartir. Lamentablemente
todo queda en promesas.",gratitude
1656,Urge de verdad un cambio en Jalisco,neutral
1657,"Usted es el indicado, Dr lomeli
Sí se puede!!!!!",approval
1658,"Este Pablito cree todavía que con pan y circo el pueblo se calla y está sometido.
¡Que no se equivoque, no ya el favorito de los tapatíos!
Ayer observé como le dió la espalda a su amigo Alfaro y proclamó a Samuel García como candidato a la presidencia.
Alfaro creyó en esta hechura de él mismo y lo están dejando solo los naranjos.
Se le acabó la carrera al pobre Kike.",neutral
1659,Quien pago las tortas ahogadas,neutral
1660,Usted va ser el indicado para gobernar Doc. Carlos Lomeli,neutral
1661,"Disculpe DR,
Algún parentesco con los Lomelí
Del mercado de abastos??",remorse
1662,"El Dr. Carlos Lomelí Bolaños
¡¡¡¡Si Puede!!!!
¡¡¡ Saludos!!!",neutral
1663,Estamos y confiamos en usted doctor Carlos Lomeli,approval
1664,El apoyo del Gran equipo de juntos por Jalisco desdé Ocotlán si puede el dr Carlos Lomeli nuestro próximo gobernador,neutral
1665,"Buen trabajo, felicidades tocayo!",gratitude
1666,"Por fin
Llegará a la gobernatura
Un gran ser humano
Le saludamos desde San Miguel el Alto
Un municipio olvidado por los gobiernos en turno",optimism
1667,"Adelante dr Lomelí juntos para el cambio en Jalisco y la 4T , vamos mi gober 🫂🫂",approval
1668,muchos lo apollamos Dr vamos con todo el pawer su servidor,neutral
1669,"Apoyo total,para UD apreciado Dr Lomeli",admiration
1670,"Vamos morena ,urge el cambio,",neutral
1671,Por Guadalajara y Jalisco Morena SI. Dr Lomeli Nuestro p Próximo Gobernador,neutral
1672,Ojala,optimism
1673,Claro Dr.lomeli si se puede. Estemos con usted,caring
1674,Dr. Carlos Lomelí Bolaños próximo Gobernador de Jalisco,neutral
1675,Toda la confianza en usted dr Carlos lomelí sigamos firmes asta la victoria claro que sí se puede,optimism
1676,Urgente reactivar servicios de salud,neutral
0,la encuestadora reporta al para determinar al coordinador de la defensa de la 4T en,neutral
1,aquÃ­ ni pÃ­o dicen.    ,neutral
2,"4 12 1,4Â M",neutral
3,de que sirven la guardia nacional y el ejÃ©rcito? De que sirve morena si estÃ¡ llena de priistas?    ,curiosity
4,"Jalisco estÃ¡ con el mejor, con el Doctor Carlos LomelÃ­    ",admiration
5,"Entrevista con , Regidor de Sintoniza a las 7:00 PM el 100.3 de FM o el link",neutral
6,     ,neutral
7,"1 2 663,4Â mil",neutral
8,"Puto criminal en MONERA.

Oye, por cierto... EstÃ¡s lista para aparecer en el juicio de Ovidio?

Si sabes que tÃº y tu red de corruptos junto con y  ",annoyance
9,"serÃ¡ acaso este mismo proyecto?

jajajajajajajajajajajaja    ",amusement
10,"O sea que de todo lo que has cobrado en tantos aÃ±os no has hecho nada? Porque las mujeres del video solo hablan de lo que ""podrÃ­as"" hacer y no de lo que has hecho...    ",neutral
11,"Revisa la cuenta de .
Ella hace dÃ­as presentÃ³ un exhorto desde la  ",neutral
12,"2 3 912,2Â mil",neutral
13,Ni honesto ni Ã­ntegro! Pero gracias por participar Docâ¦    ,gratitude
14,"Para ganarse el respeto y la confianza de las personas, hay que trabajar con honestidad e integridad. Agradezco profundamente a todos los que me acompaÃ±an en esta ardua labor. Â¡Les deseo un excelente inicio de semana a todas y todos!    ",gratitude
15,"Para ganarse el respeto y la confianza de las personas, hay que trabajar con honestidad e integridad. Agradezco profundamente a todos los que me acompaÃ±an en esta ardua labor. Â¡Les deseo un excelente inicio de semana a todas y todos!    ",gratitude
16,El se despega de los demÃ¡s y se convierte en el indiscutible candidato de https://,neutral
17,expliquen porque debilitan el poder judicial mientras empoderan mÃ¡s y mÃ¡s al ejÃ©rcito mexicano.    ,neutral
18,Dr LomelÃ­    ,neutral
19,"En Jalisco, d manera arbitraria y con el objetivo d recaudar dinero a como d lugar, Enrique Alfaro y sus amigos crearon el negocio d la verificaciÃ³n vehicular

 los precandidatos de Morena como no les interesa ni quieren ni se pronuncian en favor del automÃ³vilista  ",neutral
20,Firmes con el amigo Doctor    ,neutral
21,"Paleros, todos van por la lana    ",neutral
22,DR CARLOS LOMELI    ,neutral
23,2024 sigue puntero en la interna de en estos dÃ­as por sus procesos internos lo pone en posiciÃ³n competitiva ante quien resulte candidato de,neutral
24,En todo listo para encuesta final y definir quiÃ©n encabezarÃ¡ defensa de la . Apuestas corren a favor de,neutral
25,Jajajajaja pasearte para no trabajar no es conocer Jalisco huevon jajajajaja    ,amusement
26,"1 12 1,4Â M",neutral
27,"Muchas felicidades y mucha suerte Juncal, espero que ganes para que le tapes la boca a todos los bots que te atacan!    ",gratitude
28,Alguien se queja de los Sobreprecios en Adjudicaciones Directas? ? 0:21,curiosity
29,. sube y .,neutral
30,Este fin de semana visitÃ³ .,neutral
31,CLARA CÃRDENAS    ,neutral
32,"Exacto, todos los candidatos agarraditos del KKs.
Solos son escoria, bueno, con el KKs tambien son escoria, pero escoria ignorada. #XochitlVa  ",approval
33,Carlos LomelÃ­: soldado de la cuarta transformaciÃ³n en Jalisco. presidente del Consejo de Morena en la entidad visita TonalÃ¡ donde declara que la 4T beneficiarÃ¡ mÃ¡s los habitantes de la regiÃ³n.  ,neutral
34,"Un dÃ­a si y otro tambiÃ©n, diario en Jalisco âlevantonesâ y âejecucionesâ    ",neutral
35,"No pierda su tiempo doctor, va a volver a perder en jalisco, Morena NO  ",caring
36,"El continÃºa sus recorrido por diversas regiones del estado. Hoy estuvo en TepatitlÃ¡n, donde dijo que la gente de esta regiÃ³n merece vivir mejor y no estar aislados ni alejados de la FederaciÃ³n por culpa del gobierno estatal.  ",approval
37,Comprometido con la productiva regiÃ³n de los Altos de Jalisco visita TepetitlÃ¡n se reÃºne con militantes y simpatizantes de  ,approval
38,"Pues asÃ­ asÃ­ como que mucha lucha con la corrupciÃ³n no hubo. Los hijos, hermanos, primas, colaboradores y demÃ¡s fauna cuateotera del kks  ",neutral
39,"Y el mejor horario para los del sector 2,3,4,5 cuando va cambiar  ",caring
40,"Con liderazgos importantes, militantes y simpatizantes de se reuniÃ³ este dÃ­a  ",neutral
41,"En Tepa y todos los Altos hay gente trabajadora, buena y dedicada, que con o sin apoyo, han sabido construir una de las regiones mÃ¡s fÃ©rtiles y productivas de MÃ©xico y de toda AmÃ©rica. 

Â¡Gracias por recibirme este domingo!    ",admiration
42,"Les presento la cara de la corrupciÃ³n, les presento al seÃ±or que vende fentanilo    ",neutral
43,Pudiendo dar un golpe maestro hacen una pendejada que los deja igual que no hacer nada.   https://,annoyance
44,"9 17 31,1Â mil",neutral
45,le gustan los huevos con chorizo    ,love
46,"No sÃ© para que te haces tonta, todos sabemos que siempre andas en andares con y  ",annoyance
47,Yo creo que gana don Antonio    ,neutral
48,Pues que ponga su consultorio pero no gobernarÃ¡ Jalisco    ,neutral
49,"1 4 60,5Â mil",neutral
50,Y quÃ© es ? Un corrupto ratero ...    ,curiosity
51,Jajaja    ,amusement
52,O puedes estar trabajando y quitarte tu patrimonio El pasado 20 de septiembre las y los...  ,neutral
53,"haber pendejos, por estÃ¡ deuda no van a chistar, sirvan para algo, quieren que los tomen en serio portarse como hombres y manifieste su inconformidad para estÃ¡ deuda.    ",anger
54,3 12 8.401,neutral
55,Nos vemos maÃ±ana    ,neutral
56,"Pero ya todos sabemos que los varones van en tu cama...
Con tu esposa    ",neutral
57,Rata asquerosa    ,disgust
58,Eres una mmada doctor corrupto.    ,anger
59,Porque es mejor opciÃ³n? Porque trae la escuela de robar y robar junto a sus hermanos ? Que no debemos olvidar que ellos tres son equipo y uno de ellos anda de  suplente de Lemus votar por ella es solo darle continuidad a mc    ,confusion
60,Cualquiera le gana a los rateros de Movimiento Ciudadano!    ,neutral
61,"79 103 10,4Â M",neutral
62,Â¿Se refiere al olor a caca?    ,curiosity
63,"Muy ""interesante y orgÃ¡nica"" la organizaciÃ³n y cobijo que le brindan varios funcionarios.

Al parecer no serÃ¡ difÃ­cil elegir a uno o a una como candidata en un municipio del oriente.

Mientras tanto, biba el    ",approval
64,En Jalisco la respuesta es la mejor opciÃ³n para gobernar nuestro Estado  ,approval
65,Conocer de cerca a la gente y sus historias me motiva y me llena de vida. Es un privilegio estar y compartir con ustedes. Gracias por inspirarme todos los dÃ­as.    ,gratitude
66,"41 37 1,8Â M",neutral
67,A perder    ,neutral
68,La Maestra Clara tambiÃ©n tiene cuenta es    ,neutral
69,"No me fue mal, le atine a cinco    ",realization
70,Y tambiÃ©n se respira el fentanilo que vendiste a nuestros jÃ³venes.    ,neutral
71,Buen dÃ­a Don Corrupto    ,gratitude
72,"CuÃ¡nta ignorancia se ve al apoyar ese movimiento de cuarta, no saben hacer bien las cosas y tristemente gente neofita los sigue apoyando, por conveniencia y porque los amenazan con quitarles los programas sociales    ",sadness
73,"En encuestas realizadas en la zmg y al interior del estado durante las 4 Ãºltimas semanas, hay una clara tendencia hacia 3 de los mencionados. Curiosamente inicia con C su nombre    ",realization
74,"Ya es hora , apoyo total    ",approval
75,Jalisco serÃ¡ territorio morena    ,neutral
76,"226 1.586 7,4Â M",neutral
77,     ,neutral
78,"nada de que Â¿quiÃ©n contra nosotros juntos? No pregunte porque se lleva y luego no se aguanta. Junta mÃ¡s gente un perro atropellado que usted en una foto con sus ""cuates""    ",neutral
79,Bendito Dios que la bajaron a la hija de Michel aquÃ­ en Vallarta estÃ¡n quedando muy mal en todo    ,disappointment
80,Los jaliscienses y MC estÃ¡n muy ilusionados de que usted sea el candidato seÃ±or corrupto.    ,excitement
81,"52 20 880,1Â mil",neutral
82,"Ellos son los aspirantes a la gubernatura de Jalisco por Morena

Tres hombres y tres mujeres participarÃ¡n en la encuesta para definir al candidato de Morena a la gubernatura de Jalisco: , Clara CÃ¡rdenas, ,",neutral
83,Por el bien de Jalisco y su pueblo vamos con el Doctor    ,approval
84,"En el oriente de Guadalajara y en todo Jalisco, Â¡ya se respira fuerte la 4T!

Queremos paz y tranquilidad, desarrollo y bienestar, y juntos podemos lograrlo. Gracias a los simpatizantes de mi partido por invitarme a conversar con ellos esta tarde. Â¡Somos invencibles cuandoâ¦    ",gratitude
85,"En y en Jalisco. 

Felicito a",joy
86,"1 2 198,9Â mil",neutral
87,Y la    ,neutral
88,"Queda definida la encuesta final de con ,",neutral
89,Avanzan a la siguiente etapa y  ,neutral
90,Voy por    ,neutral
91,     ,neutral
92,"| El presidente nacional de , Mario Delgado ( , Clara CÃ¡rdenas,",neutral
93,     ,neutral
94,Esa Flor se marchito !!!!    ,neutral
95,"La ComisiÃ³n de Elecciones de ""bajÃ³"" de la lista para encuestar a Flor Michel y ""subiÃ³"" a y",neutral
96,Le dijeron: gracias por participar.    ,gratitude
97,Y la hija del Profe ????    ,neutral
98,"11 14 910,3Â mil",neutral
99,"Mi Quiniela:
Cdmx: Chiapas: sasil de Leon
Guanajuato: Morelos:",neutral
100,En pasan a la y,neutral
101,En pasan a la y,neutral
102,"anuncia perfiles que van a encuesta final en ,  ",neutral
103,"4 25 147,7Â mil",neutral
104,"En Jalisco, se suman a Clara CÃ¡rdenas en las mujeres y y",neutral
105,.- se devela el misterio y se dan a conocer los finalistas a la encuesta final a Jalisco. Cecilia MÃ¡rquez y,neutral
106,ClarÃ¡ CÃ¡rdenas es la opciÃ³n para candidata  ,neutral
107,....    ,neutral
108,"2 80 107,1Â mil",neutral
109,"Naaaaadie estÃ¡ contigo wey! AcÃ©ptalo, eres el Cruz azul en la polÃ­tica    ",approval
110,"Nada raro, MORENA ama. A los corruptos    ",love
111,. . .,neutral
112,"Si va el el cÃ³mo candidato de Morena, la neta si hay que apoyar con las plegarias a  ",neutral
113,"Como siempre ridiculeses al rezcate, rejistrando corcholatas patito para que declinen por el, lastima que entre todos no suman los puntos de  ",neutral
114,"Si replica a raja tabla el proceso del CEN de considerando fuerza en partido, encuestas a sociedad, y toca hombre, el",neutral
115,"Enserio va a permitir como candidato a un criminal, un mercenario de la desgracia ajena, un capitalista rapaz y sin escrÃºpulos como ? Cada vez mÃ¡s incongruencia.",disapproval
116,El pueblo de Jalisco estamos contigo estimado Doctor ! No hay duda eres el Ãºnico que  ,neutral
117,"Si ustedes estÃ¡n conmigo, Â¿quiÃ©n puede contra nosotros juntos? 0:26  ",curiosity
118,"Â¿Por quÃ© ningunean a del PVEM y a ?
No crean que por anunciarse mÃ¡s en Facebook no se habla de ellos aquÃ­ en T/X.
Espero que los jaliscienses no cometan abstencionismo electoral en 2024 ni conserven al PAN o Mugriento Ciudadasno",optimism
119,"101 568 4,3Â M",neutral
120,Clara CÃ¡rdenas    ,neutral
121,Ahora sÃ­ la encuesta de reconocimiento que aplicÃ³ el partido Morena en Jalisco definiÃ³ como punteros a con 52 puntos y a  ,neutral
122,Esa es la intenciÃ³n y ahÃ­ veremos el real compromiso de los morenos.    ,admiration
123,"Ahora que son tiempos de campaÃ±a, el que sea pero que se arregle!    ",neutral
124,"15 25 1,2Â M",neutral
125,"Saludos Dr Carlos lomeli BolaÃ±os
Cuenta con nuestro apoyo dtto 14    ",neutral
126,"Felicidades el pueblo estÃ¡ contigo
Jalisco 4T    ",caring
127,     ,neutral
128,"Si avientan a LomelÃ­ tienen la derrota asegurada , mejor donen ese dinero , no van a ganar nada nuevamente    ",neutral
129,"1 5 151,5Â mil",neutral
130,Dedazo o que !    ,neutral
131,como regidor usted y otros cuantos. Es momento de actuar aquÃ­ una buena oportunidad de recalcar que ustedes estÃ¡n del lado de la gente.    ,approval
132,Es un honor estar con el Doctor    ,joy
133,jajajajajajaja    ,amusement
134,No vas ni a trabajar pinchÃ© huevon jajajajajaja    ,amusement
135,Dr. Y ya les llegÃ³ al precio para que le den la candidatura. Por cierto Morena tendrÃ­a la derrota segura.    ,neutral
136,Ãste la mama rico    ,neutral
137,Todo un gÃ¡ngster...    ,neutral
138,     ,neutral
139,". , buscarÃ¡n candidatura de",neutral
140,"SÃ­, la verdad, el mejor...
AsÃ­ vuelven a perder.    ",disappointment
141,Cinturincito Ferragamo papÃ¡?!!    ,curiosity
142,"55 86 337,4Â mil",neutral
143,"El regidor ratificÃ³ con un 52% a favor en la encuesta de reconocimiento a poblaciÃ³n abierta, que es importante, que por mucho se mantiene como puntero entre los aspirantes de  ",approval
144,El sondeo de reconocimiento son H y,neutral
145,Le falto su uniforme de presidiario    ,sadness
146,Eres una verdadera mmda doptor.    ,approval
147,"5 12 760,5Â mil",neutral
148,El mejor candidato    ,curiosity
149,"Al haberse levantado una encuesta telefÃ³nica de reconocimiento (tal como lo acaba de mencionar Mario Delgado), mÃ¡s aÃºn podrÃ­a pasar lo que se vislumbra que pasÃ³. El nombre de Claudia estÃ¡ muy presente en el imaginario colectivo. Mas no quiere decir que realmente las conozcan.    ",neutral
150,"Oye doctor seguirÃ¡  engaÃ±ando a los habitantes fuera de la zmg ?

Pregunta serÃ­a!    ",neutral
151,     ,neutral
152,"61 96 5,8Â M",neutral
153,"Look de chavo-ruco ! A esa edad evidente el cabello pintado y tenis blancos tal cual puberto! AsÃ­ me da risa y no lo puedo tomar en serio, pÃ­dale asesorÃ­a a    ",amusement
154,Entrega total al servicio pÃºblico. Saludos Regidora Marta Arizmendi    ,neutral
155,Jalisco serÃ¡ territorio morena.    ,neutral
156,y en ese municipio el mando policial es el que mÃ¡s gana en Jaliscoâ¦ sospechoso o no ???  ,curiosity
157,     ,neutral
158,Cualquiera que gane es corrupto.    ,anger
159,"Unidos por la transformaciÃ³n, comprometidos con la 4T. En Jalisco, la unidad se fundamenta en los principios de , la organizaciÃ³n, la movilizaciÃ³n y la suma de todas las voluntades.

Con nuestras causas y  ",approval
160,"Que vuelvan a seleccionar a Lomeli, asÃ­ vuelve a perder Morena y quizÃ¡ tenga la descendencia de retirarse de la polÃ­tica.    ",neutral
161,A construir proyecto impulsando el liderazgo del .  ,approval
162,"QuÃ© bueno que estÃ© Carlos LomelÃ­ como puntero, asÃ­ Jalisco estarÃ¡ libre de Morena. Nadie votarÃ¡ por ese retorcido    ",neutral
163,"1 12 106,9Â mil",neutral
164,Diosito. Que no vaya a ganar.    ,disapproval
165,Puro dedazo. Asco de encuestas inventadas.    ,disgust
166,Â¿No se que es peor si tÃº o Claudia Delgadillo?. Perfiles seguros para perder nuevamente.    ,confusion
167,"No cabe duda que a las Claudias les fue bien, la mayorÃ­a de ese porcentaje no es suyo. Es de Claudia Sheinbaum.    ",neutral
168,"8 12 340,2Â mil",neutral
169,Carlos LomelÃ­ es un malandro...    ,neutral
170,Clara quedÃ³ entonces fuera?    ,neutral
171,Â¿ QuiÃ©n es Claudia Bernal?.    ,curiosity
172,"Excelente, con muy buena actitud y disposiciÃ³n.    ",admiration
173,"43 363 2,6Â M",neutral
174,.- Salen los nombres de los punteros en la encuesta de reconocimiento de en con 52%;,neutral
175,Con el Doctor Carlos LomelÃ­ gana Morena y gana el pueblo de Jalisco    ,neutral
176,Ya estamos llegando a conocer los resultados de la encuesta de reconocimiento de las y los aspirantes a la CoordinaciÃ³n de los ComitÃ©s de Defensa de la 4T en Jalisco.    ,curiosity
177,"âSe comen las uÃ±as de nerviosâ las corcholatas morenistas en Jalisco, hoy se define quienes entran a la encuesta definitoria de candidato a la gubernatura. Con resignaciÃ³n se dice entre morenistas que ganara el ...  ",neutral
178,Pero seÃ±or nadie confia en su partido y menos en usted que es un tranza    ,disapproval
179,"Cada dÃ­a mi Guadalajara se llena de mÃ¡s y mÃ¡s propaganda basura de Morena, ahora ya hay bardas tambiÃ©n de la regidora corrupta junto a las del vendedor de fentanilo  ",annoyance
180,Nadie confÃ­a en ustedes son una manada de ratas asquerosas.    ,disgust
181,El lado malo de la historia no te dejarÃ¡ brillar    ,caring
182,"Para empezar Claudia Delgadillo ni es de morena, es del verde 
Y para continuar, quien le dijo al seÃ±or que si en otras contiendas no pudo, ahora sÃ­ va a poder?    ",neutral
183,"Tu no cumples y traicionas, en morena ya conocen de que para cogeas, eres mentiroso y muy corrupto !!    ",disapproval
184,"6   18,7Â mil",neutral
185,La 4t estÃ¡ en todo    ,neutral
186,La MUER/4T ronda a los miembros de . GIF,neutral
187,Pues como que no se ve que confÃ­en mucho en tiâ¦    ,neutral
188,"Por Dios ya VASTA de tanta violencia, y la autoridad cuÃ¡ndo va hacer algo???  ",curiosity
189,"464 914 55,2Â M",neutral
190,    GIF,neutral
191,"Es correcto ,y a unas calles del call Center en donde desaparecieron los empleados del mismo,pasa en todas partes del Ã¡rea metropolitana ,ya nadie estamos a salvo.    ",approval
192,te hablan    ,neutral
193,Ayatole Con el Dedo    ,neutral
194,"3 31 89,6Â mil",neutral
195,MÃ¡s datos estadÃ­sticos para â¦  ,neutral
196,     ,neutral
197,"Hay MARRANO, tuvieras al menos congruencia ya que la dignidad ya la perdiste, si antes eran 10, ahora es una y vinculada al poder, tan vinculada que su dueÃ±o quiere ser Gobernador de Jalisco,  se llama    ",neutral
198,MÃ¡s datos estadÃ­sticos para â¦  ,neutral
199,Y siguen los morenacos de matÃ¡ndose entre ellos mismos.  ,neutral
200,Te hablan    ,neutral
201,"Que se vea el apoyo de tu partido, de tus compaÃ±eros, dÃ³nde estÃ¡n? #freeAssangeNow  ",curiosity
202,Los inmortales ! Av patria a una calle de donde levantaron a la presidenta municipal !    ,neutral
203,Con todo Doc    ,neutral
204,Trabajo q se siente!!!    ,neutral
205,"4 3 60,5Â mil",neutral
206,# Regidora Marta Arizmendi MÃ¡s  por ti En beneficio de un mejor TonalÃ¡,caring
207,     ,neutral
208,"A don ventas de femtalino lo ponen arriba, se ve muy honesta la encuesta    ",approval
209,No cabe duda que su desempeÃ±o cÃ³mo funcionario pÃºblico es de aplaudirle por su buena atenciÃ³n a la ciudadanÃ­a    ,admiration
210,"9 91 979,6Â mil",neutral
211,Todos en morena son asesinos    ,sadness
212,     ,neutral
213,Los Morenistas y Obradoristas de Jalisco estamos con usted Doc! Cuente con nosotros para sacar a los naranjas corruptos y ponerlos a rendir cuentas al pueblo de Jalisco!    ,neutral
214,     ,neutral
215,3   24Â mil,neutral
216,"Y ayer en Jardines Universidad un comando armado mato a una persona en un restaurante wue tiene aÃ±os y de mucha tradiciÃ³n, se escucharon rafas por aproximadamente 8 minutos y obvio no agarraron a nadie .    ",neutral
217,Y cual es mi pelÃ­cula?    ,curiosity
218,Pues....   GIF,neutral
219,AhÃ­ falta lamiÃ©ndole las botas.  ,neutral
220,"""no ejtamos del lado de la violencia""    ",disapproval
221,     ,neutral
222,"El Doc LomelÃ­

Nos relata la historia de un corrupto empresario farmacÃ©utico que se ha hecho millonario a costa de la salud.

Descubre como este magnate puede vender el paracetamol a sobreprecio y siempre salirse con la suya de la mano de Morena.    ",neutral
223,circula otra encuesta electoral rumbo al 2024. AsÃ­ la mÃ©trica que favorece a como el mÃ¡s rentable segÃºn contestan en este ejercicio... usted lo cree?  ,neutral
224,"6 8 67,8Â mil",neutral
225,Terrible!    ,fear
226,"Y eso que tiene que ver PENDEJ0, solo por quÃ© ya pasÃ³ semanas atrÃ¡s no se debe hablar del tema?    ",confusion
227,"Eres un narco, corrupto y cÃ­nico    ",disgust
228,No. Seguro    ,neutral
229,"8   42,2Â mil",neutral
230,"Fue el 4 de octubre. Borralo, dicen los chairos que ya no tiene importancia    ",realization
231,Â¿Nos vas a ir a darles abrazos?    ,curiosity
232,Se debe hacer un llamado colectivo a organismos internacionales y autoridades extranjeras quÃ© pongan fin a este conflicto.    ,approval
233,Â¿Apenas te enteras? Eso tiene tiene semanas que pasÃ³    ,curiosity
234,"2 4 52,2Â mil",neutral
235,Siempre asÃ­ serÃ¡ Dr.! Abrazo y bendiciones    ,gratitude
236,Aguas!!!!    ,neutral
237,Gracias a quienes confÃ­an en mÃ­: seguirÃ© trabajando para estar a la altura de sus esperanzas. Â¡Juntas y juntos somos imparables!    ,gratitude
238,"Todo MÃ©xico es terreno del CO, amlo pacto con estos para llegar a la presidencia    ",neutral
239,No solamente en Jalisco....    ,neutral
