,texto,tokens,bigramas_spacy,bigramas_nltk,texto_lematizado,texto_preprocesado,polaridad
584,chema,['chema'],[],[],chemo,['chemir'],0.49789225920557484
585,1,['1'],[],[],1,[],0.49789225920557484
586,el harfuch que apenas tuvo evento proselitista con el líder sindical del metro ese mismo líder sindical que,"['el', 'harfuch', 'que', 'apenas', 'tuvo', 'evento', 'proselitista', 'con', 'el', 'líder', 'sindical', 'del', 'metro', 'ese', 'mismo', 'líder', 'sindical', 'que']","[('el', 'harfuch'), ('harfuch', 'que'), ('que', 'apenas'), ('apenas', 'tuvo'), ('tuvo', 'evento'), ('evento', 'proselitista'), ('proselitista', 'con'), ('con', 'el'), ('el', 'líder'), ('líder', 'sindical'), ('sindical', 'del'), ('del', 'metro'), ('metro', 'ese'), ('ese', 'mismo'), ('mismo', 'líder'), ('líder', 'sindical'), ('sindical', 'que')]","[('el', 'harfuch', 'que'), ('harfuch', 'que', 'apenas'), ('que', 'apenas', 'tuvo'), ('apenas', 'tuvo', 'evento'), ('tuvo', 'evento', 'proselitista'), ('evento', 'proselitista', 'con'), ('proselitista', 'con', 'el'), ('con', 'el', 'líder'), ('el', 'líder', 'sindical'), ('líder', 'sindical', 'del'), ('sindical', 'del', 'metro'), ('del', 'metro', 'ese'), ('metro', 'ese', 'mismo'), ('ese', 'mismo', 'líder'), ('mismo', 'líder', 'sindical'), ('líder', 'sindical', 'que')]",el harfuch que apenas tener evento proselitista con el líder sindical del metro ese mismo líder sindical que,"['harfuch', 'evento', 'proselitista', 'líder', 'sindical', 'metro', 'líder', 'sindical']",0.6805629489979185
587,chema la mejor opción,"['chema', 'la', 'mejor', 'opción']","[('chema', 'la'), ('la', 'mejor'), ('mejor', 'opción')]","[('chema', 'la', 'mejor'), ('la', 'mejor', 'opción')]",chemar el mejor opción,"['chemar', 'opción']",0.9209288473479899
588,lo sentimos pero no es lo que morena y tú quieran pretendan o deseen así te revuelques en el piso haciendo berrinche como niño en el supermercado en busca de que le compren su dulce a fuerza atte el ine,"['lo', 'sentimos', 'pero', 'no', 'es', 'lo', 'que', 'morena', 'y', 'tú', 'quieran', 'pretendan', 'o', 'deseen', 'así', 'te', 'revuelques', 'en', 'el', 'piso', 'haciendo', 'berrinche', 'como', 'niño', 'en', 'el', 'supermercado', 'en', 'busca', 'de', 'que', 'le', 'compren', 'su', 'dulce', 'a', 'fuerza', 'atte', 'el', 'ine']","[('lo', 'sentimos'), ('sentimos', 'pero'), ('pero', 'no'), ('no', 'es'), ('es', 'lo'), ('lo', 'que'), ('que', 'morena'), ('morena', 'y'), ('y', 'tú'), ('tú', 'quieran'), ('quieran', 'pretendan'), ('pretendan', 'o'), ('o', 'deseen'), ('deseen', 'así'), ('así', 'te'), ('te', 'revuelques'), ('revuelques', 'en'), ('en', 'el'), ('el', 'piso'), ('piso', 'haciendo'), ('haciendo', 'berrinche'), ('berrinche', 'como'), ('como', 'niño'), ('niño', 'en'), ('en', 'el'), ('el', 'supermercado'), ('supermercado', 'en'), ('en', 'busca'), ('busca', 'de'), ('de', 'que'), ('que', 'le'), ('le', 'compren'), ('compren', 'su'), ('su', 'dulce'), ('dulce', 'a'), ('a', 'fuerza'), ('fuerza', 'atte'), ('atte', 'el'), ('el', 'ine')]","[('lo', 'sentimos', 'pero'), ('sentimos', 'pero', 'no'), ('pero', 'no', 'es'), ('no', 'es', 'lo'), ('es', 'lo', 'que'), ('lo', 'que', 'morena'), ('que', 'morena', 'y'), ('morena', 'y', 'tú'), ('y', 'tú', 'quieran'), ('tú', 'quieran', 'pretendan'), ('quieran', 'pretendan', 'o'), ('pretendan', 'o', 'deseen'), ('o', 'deseen', 'así'), ('deseen', 'así', 'te'), ('así', 'te', 'revuelques'), ('te', 'revuelques', 'en'), ('revuelques', 'en', 'el'), ('en', 'el', 'piso'), ('el', 'piso', 'haciendo'), ('piso', 'haciendo', 'berrinche'), ('haciendo', 'berrinche', 'como'), ('berrinche', 'como', 'niño'), ('como', 'niño', 'en'), ('niño', 'en', 'el'), ('en', 'el', 'supermercado'), ('el', 'supermercado', 'en'), ('supermercado', 'en', 'busca'), ('en', 'busca', 'de'), ('busca', 'de', 'que'), ('de', 'que', 'le'), ('que', 'le', 'compren'), ('le', 'compren', 'su'), ('compren', 'su', 'dulce'), ('su', 'dulce', 'a'), ('dulce', 'a', 'fuerza'), ('a', 'fuerza', 'atte'), ('fuerza', 'atte', 'el'), ('atte', 'el', 'ine')]",él sentir pero no ser él que morén y tú querer pretender o deseir así tú revuelques en el piso hacer berrinche como niño en el supermercado en busca de que él comprir su dulce a fuerza atte el ine,"['sentir', 'morén', 'querer', 'pretender', 'deseir', 'revuelques', 'piso', 'berrinche', 'niño', 'supermercado', 'busca', 'comprir', 'dulce', 'fuerza', 'atte', 'ine']",2.191600391597465e-07
589,ah mira,"['ah', 'mira']","[('ah', 'mira')]",[],ah mira,"['ah', 'mira']",0.34322267253793753
590,7,['7'],[],[],7,[],0.49789225920557484
591,para los jaliscienses sería desastroso un chema martínez de gobernador este es un panista emecista disfrazado de morenista sería una traición de morena igual a la que hicieron en coahuila,"['para', 'los', 'jaliscienses', 'sería', 'desastroso', 'un', 'chema', 'martínez', 'de', 'gobernador', 'este', 'es', 'un', 'panista', 'emecista', 'disfrazado', 'de', 'morenista', 'sería', 'una', 'traición', 'de', 'morena', 'igual', 'a', 'la', 'que', 'hicieron', 'en', 'coahuila']","[('para', 'los'), ('los', 'jaliscienses'), ('jaliscienses', 'sería'), ('sería', 'desastroso'), ('desastroso', 'un'), ('un', 'chema'), ('chema', 'martínez'), ('martínez', 'de'), ('de', 'gobernador'), ('gobernador', 'este'), ('este', 'es'), ('es', 'un'), ('un', 'panista'), ('panista', 'emecista'), ('emecista', 'disfrazado'), ('disfrazado', 'de'), ('de', 'morenista'), ('morenista', 'sería'), ('sería', 'una'), ('una', 'traición'), ('traición', 'de'), ('de', 'morena'), ('morena', 'igual'), ('igual', 'a'), ('a', 'la'), ('la', 'que'), ('que', 'hicieron'), ('hicieron', 'en'), ('en', 'coahuila')]","[('para', 'los', 'jaliscienses'), ('los', 'jaliscienses', 'sería'), ('jaliscienses', 'sería', 'desastroso'), ('sería', 'desastroso', 'un'), ('desastroso', 'un', 'chema'), ('un', 'chema', 'martínez'), ('chema', 'martínez', 'de'), ('martínez', 'de', 'gobernador'), ('de', 'gobernador', 'este'), ('gobernador', 'este', 'es'), ('este', 'es', 'un'), ('es', 'un', 'panista'), ('un', 'panista', 'emecista'), ('panista', 'emecista', 'disfrazado'), ('emecista', 'disfrazado', 'de'), ('disfrazado', 'de', 'morenista'), ('de', 'morenista', 'sería'), ('morenista', 'sería', 'una'), ('sería', 'una', 'traición'), ('una', 'traición', 'de'), ('traición', 'de', 'morena'), ('de', 'morena', 'igual'), ('morena', 'igual', 'a'), ('igual', 'a', 'la'), ('a', 'la', 'que'), ('la', 'que', 'hicieron'), ('que', 'hicieron', 'en'), ('hicieron', 'en', 'coahuila')]",para el jalisciens ser desastroso uno chema martínez de gobernador este ser uno panista emecista disfrazado de morenista ser uno traición de morena igual a el que hacer en coahuila,"['jalisciens', 'desastroso', 'chemo', 'martínez', 'gobernador', 'panista', 'emecista', 'disfrazado', 'morenista', 'traición', 'morena', 'coahuila']",0.02547367145425836
592,debe ser la siguiente presidenta de méxico,"['debe', 'ser', 'la', 'siguiente', 'presidenta', 'de', 'méxico']","[('debe', 'ser'), ('ser', 'la'), ('la', 'siguiente'), ('siguiente', 'presidenta'), ('presidenta', 'de'), ('de', 'méxico')]","[('debe', 'ser', 'la'), ('ser', 'la', 'siguiente'), ('la', 'siguiente', 'presidenta'), ('siguiente', 'presidenta', 'de'), ('presidenta', 'de', 'méxico')]",deber ser el siguiente presidenta de méxico,"['deber', 'presidenta', 'méxico']",0.01753627985607772
594,la respuesta es,"['la', 'respuesta', 'es']","[('la', 'respuesta'), ('respuesta', 'es')]","[('la', 'respuesta', 'es')]",el respuesta ser,['respuesta'],0.0949508199025972
595,dile,['dile'],[],[],dile,['dile'],0.49789225920557484
596,y si mencionas ahora que la tesis de la abogada esquivel es una copia y que la unam se lamenta la vergüenza por favor quiero leerte,"['y', 'si', 'mencionas', 'ahora', 'que', 'la', 'tesis', 'de', 'la', 'abogada', 'esquivel', 'es', 'una', 'copia', 'y', 'que', 'la', 'unam', 'se', 'lamenta', 'la', 'vergüenza', 'por', 'favor', 'quiero', 'leerte']","[('y', 'si'), ('si', 'mencionas'), ('mencionas', 'ahora'), ('ahora', 'que'), ('que', 'la'), ('la', 'tesis'), ('tesis', 'de'), ('de', 'la'), ('la', 'abogada'), ('abogada', 'esquivel'), ('esquivel', 'es'), ('es', 'una'), ('una', 'copia'), ('copia', 'y'), ('y', 'que'), ('que', 'la'), ('la', 'unam'), ('unam', 'se'), ('se', 'lamenta'), ('lamenta', 'la'), ('la', 'vergüenza'), ('vergüenza', 'por'), ('por', 'favor'), ('favor', 'quiero'), ('quiero', 'leerte')]","[('y', 'si', 'mencionas'), ('si', 'mencionas', 'ahora'), ('mencionas', 'ahora', 'que'), ('ahora', 'que', 'la'), ('que', 'la', 'tesis'), ('la', 'tesis', 'de'), ('tesis', 'de', 'la'), ('de', 'la', 'abogada'), ('la', 'abogada', 'esquivel'), ('abogada', 'esquivel', 'es'), ('esquivel', 'es', 'una'), ('es', 'una', 'copia'), ('una', 'copia', 'y'), ('copia', 'y', 'que'), ('y', 'que', 'la'), ('que', 'la', 'unam'), ('la', 'unam', 'se'), ('unam', 'se', 'lamenta'), ('se', 'lamenta', 'la'), ('lamenta', 'la', 'vergüenza'), ('la', 'vergüenza', 'por'), ('vergüenza', 'por', 'favor'), ('por', 'favor', 'quiero'), ('favor', 'quiero', 'leerte')]",y si mencionar ahora que el tesis de el abogada esquivel ser uno copia y que el unam él lamentar el vergüenza por favor querer leerte,"['mencionar', 'tesis', 'abogada', 'esquivel', 'copia', 'unam', 'lamentar', 'vergüenza', 'favor', 'querer', 'leerte']",2.89848313707099e-08
597,2,['2'],[],[],2,[],0.49789225920557484
598,ahora sí encuestas de prestigio cucharero,"['ahora', 'sí', 'encuestas', 'de', 'prestigio', 'cucharero']","[('ahora', 'sí'), ('sí', 'encuestas'), ('encuestas', 'de'), ('de', 'prestigio'), ('prestigio', 'cucharero')]","[('ahora', 'sí', 'encuestas'), ('sí', 'encuestas', 'de'), ('encuestas', 'de', 'prestigio'), ('de', 'prestigio', 'cucharero')]",ahora sí encuesta de prestigio cucharero,"['encuesta', 'prestigio', 'cucharero']",0.16973463481856102
599,osea nacho yoli ni quería ser presidenta municipal deja el chayote a fuerza ni los zapatos,"['osea', 'nacho', 'yoli', 'ni', 'quería', 'ser', 'presidenta', 'municipal', 'deja', 'el', 'chayote', 'a', 'fuerza', 'ni', 'los', 'zapatos']","[('osea', 'nacho'), ('nacho', 'yoli'), ('yoli', 'ni'), ('ni', 'quería'), ('quería', 'ser'), ('ser', 'presidenta'), ('presidenta', 'municipal'), ('municipal', 'deja'), ('deja', 'el'), ('el', 'chayote'), ('chayote', 'a'), ('a', 'fuerza'), ('fuerza', 'ni'), ('ni', 'los'), ('los', 'zapatos')]","[('osea', 'nacho', 'yoli'), ('nacho', 'yoli', 'ni'), ('yoli', 'ni', 'quería'), ('ni', 'quería', 'ser'), ('quería', 'ser', 'presidenta'), ('ser', 'presidenta', 'municipal'), ('presidenta', 'municipal', 'deja'), ('municipal', 'deja', 'el'), ('deja', 'el', 'chayote'), ('el', 'chayote', 'a'), ('chayote', 'a', 'fuerza'), ('a', 'fuerza', 'ni'), ('fuerza', 'ni', 'los'), ('ni', 'los', 'zapatos')]",osea nacho yoli ni querer ser presidenta municipal dejar el chayote a fuerza ni el zapato,"['osea', 'nacho', 'yoli', 'querer', 'presidenta', 'municipal', 'dejar', 'chayote', 'fuerza', 'zapato']",0.00011170731828039209
600,jajaja el aprendiz del súper policía preso en usa a cdmx olvídense de la mayoría en la cámara,"['jajaja', 'el', 'aprendiz', 'del', 'súper', 'policía', 'preso', 'en', 'usa', 'a', 'cdmx', 'olvídense', 'de', 'la', 'mayoría', 'en', 'la', 'cámara']","[('jajaja', 'el'), ('el', 'aprendiz'), ('aprendiz', 'del'), ('del', 'súper'), ('súper', 'policía'), ('policía', 'preso'), ('preso', 'en'), ('en', 'usa'), ('usa', 'a'), ('a', 'cdmx'), ('cdmx', 'olvídense'), ('olvídense', 'de'), ('de', 'la'), ('la', 'mayoría'), ('mayoría', 'en'), ('en', 'la'), ('la', 'cámara')]","[('jajaja', 'el', 'aprendiz'), ('el', 'aprendiz', 'del'), ('aprendiz', 'del', 'súper'), ('del', 'súper', 'policía'), ('súper', 'policía', 'preso'), ('policía', 'preso', 'en'), ('preso', 'en', 'usa'), ('en', 'usa', 'a'), ('usa', 'a', 'cdmx'), ('a', 'cdmx', 'olvídense'), ('cdmx', 'olvídense', 'de'), ('olvídense', 'de', 'la'), ('de', 'la', 'mayoría'), ('la', 'mayoría', 'en'), ('mayoría', 'en', 'la'), ('en', 'la', 'cámara')]",jajajar el aprendiz del súper policía preso en usar a cdmx olvídense de el mayoría en el cámara,"['jajajar', 'aprendiz', 'súper', 'policía', 'preso', 'cdmx', 'olvídense', 'mayoría', 'cámara']",0.8391527224218066
601,después del criterio del,"['después', 'del', 'criterio', 'del']","[('después', 'del'), ('del', 'criterio'), ('criterio', 'del')]","[('después', 'del', 'criterio'), ('del', 'criterio', 'del')]",después del criterio del,['criterio'],0.40918184624933046
602,es tiempo de mujeres de modo que en jalisco,"['es', 'tiempo', 'de', 'mujeres', 'de', 'modo', 'que', 'en', 'jalisco']","[('es', 'tiempo'), ('tiempo', 'de'), ('de', 'mujeres'), ('mujeres', 'de'), ('de', 'modo'), ('modo', 'que'), ('que', 'en'), ('en', 'jalisco')]","[('es', 'tiempo', 'de'), ('tiempo', 'de', 'mujeres'), ('de', 'mujeres', 'de'), ('mujeres', 'de', 'modo'), ('de', 'modo', 'que'), ('modo', 'que', 'en'), ('que', 'en', 'jalisco')]",ser tiempo de mujer de modo que en jalisco,"['tiempo', 'mujer', 'jalisco']",0.007451183255595165
603,jajajaja ni eso hacen bien,"['jajajaja', 'ni', 'eso', 'hacen', 'bien']","[('jajajaja', 'ni'), ('ni', 'eso'), ('eso', 'hacen'), ('hacen', 'bien')]","[('jajajaja', 'ni', 'eso'), ('ni', 'eso', 'hacen'), ('eso', 'hacen', 'bien')]",jajajajar ni ese hacer bien,['jajajajar'],0.03589460325830079
604,452,['452'],[],[],452,[],0.49789225920557484
606,puentes de plata con el,"['puentes', 'de', 'plata', 'con', 'el']","[('puentes', 'de'), ('de', 'plata'), ('plata', 'con'), ('con', 'el')]","[('puentes', 'de', 'plata'), ('de', 'plata', 'con'), ('plata', 'con', 'el')]",puente de plata con el,"['puente', 'plata']",0.3740002015950025
607,esto esta amañado los comentarios claramente la mayoría dicen clara y en los resultado va chema muy arriba de todos modos emití mi voto y mi comentario ánimo,"['esto', 'esta', 'amañado', 'los', 'comentarios', 'claramente', 'la', 'mayoría', 'dicen', 'clara', 'y', 'en', 'los', 'resultado', 'va', 'chema', 'muy', 'arriba', 'de', 'todos', 'modos', 'emití', 'mi', 'voto', 'y', 'mi', 'comentario', 'ánimo']","[('esto', 'esta'), ('esta', 'amañado'), ('amañado', 'los'), ('los', 'comentarios'), ('comentarios', 'claramente'), ('claramente', 'la'), ('la', 'mayoría'), ('mayoría', 'dicen'), ('dicen', 'clara'), ('clara', 'y'), ('y', 'en'), ('en', 'los'), ('los', 'resultado'), ('resultado', 'va'), ('va', 'chema'), ('chema', 'muy'), ('muy', 'arriba'), ('arriba', 'de'), ('de', 'todos'), ('todos', 'modos'), ('modos', 'emití'), ('emití', 'mi'), ('mi', 'voto'), ('voto', 'y'), ('y', 'mi'), ('mi', 'comentario'), ('comentario', 'ánimo')]","[('esto', 'esta', 'amañado'), ('esta', 'amañado', 'los'), ('amañado', 'los', 'comentarios'), ('los', 'comentarios', 'claramente'), ('comentarios', 'claramente', 'la'), ('claramente', 'la', 'mayoría'), ('la', 'mayoría', 'dicen'), ('mayoría', 'dicen', 'clara'), ('dicen', 'clara', 'y'), ('clara', 'y', 'en'), ('y', 'en', 'los'), ('en', 'los', 'resultado'), ('los', 'resultado', 'va'), ('resultado', 'va', 'chema'), ('va', 'chema', 'muy'), ('chema', 'muy', 'arriba'), ('muy', 'arriba', 'de'), ('arriba', 'de', 'todos'), ('de', 'todos', 'modos'), ('todos', 'modos', 'emití'), ('modos', 'emití', 'mi'), ('emití', 'mi', 'voto'), ('mi', 'voto', 'y'), ('voto', 'y', 'mi'), ('y', 'mi', 'comentario'), ('mi', 'comentario', 'ánimo')]",este este amañado el comentario claramente el mayoría decir claro y en el resultado ir chemar mucho arriba de todos modos emití mi voto y mi comentario ánimo,"['amañado', 'comentario', 'claramente', 'mayoría', 'resultado', 'chemar', 'modos', 'emití', 'voto', 'comentario', 'ánimo']",1.1112813168185224e-08
608,clara es la respuesta,"['clara', 'es', 'la', 'respuesta']","[('clara', 'es'), ('es', 'la'), ('la', 'respuesta')]","[('clara', 'es', 'la'), ('es', 'la', 'respuesta')]",claro ser el respuesta,['respuesta'],0.07367277178784856
609,4,['4'],[],[],4,[],0.49789225920557484
615,errata transformación,"['errata', 'transformación']","[('errata', 'transformación')]",[],errata transformación,"['errata', 'transformación']",0.49789225920557484
616,el mismo,"['el', 'mismo']","[('el', 'mismo')]",[],el mismo,[],0.15098152415882662
617,chema martínez,"['chema', 'martínez']","[('chema', 'martínez')]",[],chema martínez,"['chema', 'martínez']",0.49789225920557484
618,se demuestra el cariño y el agradecimiento de haberle vendido fntanilo teniendo suspendida su empresa entre narc0s se entienden,"['se', 'demuestra', 'el', 'cariño', 'y', 'el', 'agradecimiento', 'de', 'haberle', 'vendido', 'f', 'ntanilo', 'teniendo', 'suspendida', 'su', 'empresa', 'entre', 'narc0s', 'se', 'entienden']","[('se', 'demuestra'), ('demuestra', 'el'), ('el', 'cariño'), ('cariño', 'y'), ('y', 'el'), ('el', 'agradecimiento'), ('agradecimiento', 'de'), ('de', 'haberle'), ('haberle', 'vendido'), ('vendido', 'fntanilo'), ('fntanilo', 'teniendo'), ('teniendo', 'suspendida'), ('suspendida', 'su'), ('su', 'empresa'), ('empresa', 'entre'), ('entre', 'narc0s'), ('narc0s', 'se'), ('se', 'entienden')]","[('se', 'demuestra', 'el'), ('demuestra', 'el', 'cariño'), ('el', 'cariño', 'y'), ('cariño', 'y', 'el'), ('y', 'el', 'agradecimiento'), ('el', 'agradecimiento', 'de'), ('agradecimiento', 'de', 'haberle'), ('de', 'haberle', 'vendido'), ('haberle', 'vendido', 'fntanilo'), ('vendido', 'fntanilo', 'teniendo'), ('fntanilo', 'teniendo', 'suspendida'), ('teniendo', 'suspendida', 'su'), ('suspendida', 'su', 'empresa'), ('su', 'empresa', 'entre'), ('empresa', 'entre', 'narc0s'), ('entre', 'narc0s', 'se'), ('narc0s', 'se', 'entienden')]",él demostrar el cariño y el agradecimiento de haber él vender fntanilo tener suspendido su empresa entre narc0s él entender,"['demostrar', 'cariño', 'agradecimiento', 'vender', 'fntanilo', 'suspendido', 'empresa', 'entender']",0.008235623643905864
619,11,['11'],[],[],11,[],0.49789225920557484
620,jalisco nunca morena,"['jalisco', 'nunca', 'morena']","[('jalisco', 'nunca'), ('nunca', 'morena')]","[('jalisco', 'nunca', 'morena')]",jalisco nunca morén,"['jalisco', 'morén']",0.15213999863611508
621,mi voto para clara cárdenas la ruta es clara para jalisco,"['mi', 'voto', 'para', 'clara', 'cárdenas', 'la', 'ruta', 'es', 'clara', 'para', 'jalisco']","[('mi', 'voto'), ('voto', 'para'), ('para', 'clara'), ('clara', 'cárdenas'), ('cárdenas', 'la'), ('la', 'ruta'), ('ruta', 'es'), ('es', 'clara'), ('clara', 'para'), ('para', 'jalisco')]","[('mi', 'voto', 'para'), ('voto', 'para', 'clara'), ('para', 'clara', 'cárdenas'), ('clara', 'cárdenas', 'la'), ('cárdenas', 'la', 'ruta'), ('la', 'ruta', 'es'), ('ruta', 'es', 'clara'), ('es', 'clara', 'para'), ('clara', 'para', 'jalisco')]",mi voto para claro cárdena el ruta ser claro para jalisco,"['voto', 'cárdena', 'ruta', 'jalisco']",0.28053783451614944
622,quién debería ser el candidato o candidata a la gubernatura de jalisco por morena clara cárdenas,"['quién', 'debería', 'ser', 'el', 'candidato', 'o', 'candidata', 'a', 'la', 'gubernatura', 'de', 'jalisco', 'por', 'morena', 'clara', 'cárdenas']","[('quién', 'debería'), ('debería', 'ser'), ('ser', 'el'), ('el', 'candidato'), ('candidato', 'o'), ('o', 'candidata'), ('candidata', 'a'), ('a', 'la'), ('la', 'gubernatura'), ('gubernatura', 'de'), ('de', 'jalisco'), ('jalisco', 'por'), ('por', 'morena'), ('morena', 'clara'), ('clara', 'cárdenas')]","[('quién', 'debería', 'ser'), ('debería', 'ser', 'el'), ('ser', 'el', 'candidato'), ('el', 'candidato', 'o'), ('candidato', 'o', 'candidata'), ('o', 'candidata', 'a'), ('candidata', 'a', 'la'), ('a', 'la', 'gubernatura'), ('la', 'gubernatura', 'de'), ('gubernatura', 'de', 'jalisco'), ('de', 'jalisco', 'por'), ('jalisco', 'por', 'morena'), ('por', 'morena', 'clara'), ('morena', 'clara', 'cárdenas')]",quién deber ser el candidato o candidata a el gubernatura de jalisco por morena claro cárdena,"['deber', 'candidato', 'candidata', 'gubernatura', 'jalisco', 'morena', 'cárdena']",0.00939448458018113
623,jajaja,['jajaja'],[],[],jajaja,['jajaja'],0.49789225920557484
624,6,['6'],[],[],6,[],0.49789225920557484
625,ni con esa señora sin chiste ganaran jalisco,"['ni', 'con', 'esa', 'señora', 'sin', 'chiste', 'ganaran', 'jalisco']","[('ni', 'con'), ('con', 'esa'), ('esa', 'señora'), ('señora', 'sin'), ('sin', 'chiste'), ('chiste', 'ganaran'), ('ganaran', 'jalisco')]","[('ni', 'con', 'esa'), ('con', 'esa', 'señora'), ('esa', 'señora', 'sin'), ('señora', 'sin', 'chiste'), ('sin', 'chiste', 'ganaran'), ('chiste', 'ganaran', 'jalisco')]",ni con ese señora sin chiste ganarar jalisco,"['señora', 'chiste', 'ganarar', 'jalisco']",0.005277029991649665
626,de seguro estaba el anormal de,"['de', 'seguro', 'estaba', 'el', 'anormal', 'de']","[('de', 'seguro'), ('seguro', 'estaba'), ('estaba', 'el'), ('el', 'anormal'), ('anormal', 'de')]","[('de', 'seguro', 'estaba'), ('seguro', 'estaba', 'el'), ('estaba', 'el', 'anormal'), ('el', 'anormal', 'de')]",de seguro estar el anormal de,"['seguro', 'anormal']",0.442248963814497
627,escucharon la más votada,"['escucharon', 'la', 'más', 'votada']","[('escucharon', 'la'), ('la', 'más'), ('más', 'votada')]","[('escucharon', 'la', 'más'), ('la', 'más', 'votada')]",escuchar el más votado,"['escuchar', 'votado']",0.30788060408649515
628,lord fenta recibiendo a eschaira,"['lord', 'fenta', 'recibiendo', 'a', 'eschaira']","[('lord', 'fenta'), ('fenta', 'recibiendo'), ('recibiendo', 'a'), ('a', 'eschaira')]","[('lord', 'fenta', 'recibiendo'), ('fenta', 'recibiendo', 'a'), ('recibiendo', 'a', 'eschaira')]",lord fentar recibir a eschaira,"['lord', 'fentar', 'recibir', 'eschaira']",0.49789225920557484
629,7,['7'],[],[],7,[],0.49789225920557484
631,se la puso difícil,"['se', 'la', 'puso', 'difícil']","[('se', 'la'), ('la', 'puso'), ('puso', 'difícil')]","[('se', 'la', 'puso'), ('la', 'puso', 'difícil')]",él él poner difícil,['difícil'],0.18768336742257044
632,felicidades siguen derrochando dinero del erario su hipocresía de primero los pobres es irónica e indignante hasta cuándo,"['felicidades', 'siguen', 'derrochando', 'dinero', 'del', 'erario', 'su', 'hipocresía', 'de', 'primero', 'los', 'pobres', 'es', 'irónica', 'e', 'indignante', 'hasta', 'cuándo']","[('felicidades', 'siguen'), ('siguen', 'derrochando'), ('derrochando', 'dinero'), ('dinero', 'del'), ('del', 'erario'), ('erario', 'su'), ('su', 'hipocresía'), ('hipocresía', 'de'), ('de', 'primero'), ('primero', 'los'), ('los', 'pobres'), ('pobres', 'es'), ('es', 'irónica'), ('irónica', 'e'), ('e', 'indignante'), ('indignante', 'hasta'), ('hasta', 'cuándo')]","[('felicidades', 'siguen', 'derrochando'), ('siguen', 'derrochando', 'dinero'), ('derrochando', 'dinero', 'del'), ('dinero', 'del', 'erario'), ('del', 'erario', 'su'), ('erario', 'su', 'hipocresía'), ('su', 'hipocresía', 'de'), ('hipocresía', 'de', 'primero'), ('de', 'primero', 'los'), ('primero', 'los', 'pobres'), ('los', 'pobres', 'es'), ('pobres', 'es', 'irónica'), ('es', 'irónica', 'e'), ('irónica', 'e', 'indignante'), ('e', 'indignante', 'hasta'), ('indignante', 'hasta', 'cuándo')]",felicidad seguir derrochar dinero del erario su hipocresía de primero el pobre ser irónico e indignante hasta cuándo,"['felicidad', 'seguir', 'derrochar', 'dinero', 'erario', 'hipocresía', 'pobre', 'irónico', 'indignante']",0.008320765331827178
633,no es cierto no te creo,"['no', 'es', 'cierto', 'no', 'te', 'creo']","[('no', 'es'), ('es', 'cierto'), ('cierto', 'no'), ('no', 'te'), ('te', 'creo')]","[('no', 'es', 'cierto'), ('es', 'cierto', 'no'), ('cierto', 'no', 'te'), ('no', 'te', 'creo')]",no ser cierto no tú creer,['creer'],0.0007351878261344593
634,si dios hablara te pediria cuentas corrupto,"['si', 'dios', 'hablara', 'te', 'pediria', 'cuentas', 'corrupto']","[('si', 'dios'), ('dios', 'hablara'), ('hablara', 'te'), ('te', 'pediria'), ('pediria', 'cuentas'), ('cuentas', 'corrupto')]","[('si', 'dios', 'hablara'), ('dios', 'hablara', 'te'), ('hablara', 'te', 'pediria'), ('te', 'pediria', 'cuentas'), ('pediria', 'cuentas', 'corrupto')]",si dio hablar tú pediriar cuenta corrupto,"['hablar', 'pediriar', 'corrupto']",0.05725019826711245
635,ahora si lo pelaron dr de a como le va a tocar cooperar porque para candidato no da,"['ahora', 'si', 'lo', 'pelaron', 'dr', 'de', 'a', 'como', 'le', 'va', 'a', 'tocar', 'cooperar', 'porque', 'para', 'candidato', 'no', 'da']","[('ahora', 'si'), ('si', 'lo'), ('lo', 'pelaron'), ('pelaron', 'dr'), ('dr', 'de'), ('de', 'a'), ('a', 'como'), ('como', 'le'), ('le', 'va'), ('va', 'a'), ('a', 'tocar'), ('tocar', 'cooperar'), ('cooperar', 'porque'), ('porque', 'para'), ('para', 'candidato'), ('candidato', 'no'), ('no', 'da')]","[('ahora', 'si', 'lo'), ('si', 'lo', 'pelaron'), ('lo', 'pelaron', 'dr'), ('pelaron', 'dr', 'de'), ('dr', 'de', 'a'), ('de', 'a', 'como'), ('a', 'como', 'le'), ('como', 'le', 'va'), ('le', 'va', 'a'), ('va', 'a', 'tocar'), ('a', 'tocar', 'cooperar'), ('tocar', 'cooperar', 'porque'), ('cooperar', 'porque', 'para'), ('porque', 'para', 'candidato'), ('para', 'candidato', 'no'), ('candidato', 'no', 'da')]",ahora si él pelar dr de a como él ir a tocar cooperar porque para candidato no dar,"['pelar', 'dr', 'tocar', 'cooperar', 'candidato']",8.205536664052557e-05
